MOBILEAREA,性别,年龄,金额
黑龙江 齐齐哈尔市,男,35,1400026
黑龙江 齐齐哈尔市,男,60,860000
黑龙江 齐齐哈尔市,女,57,540000
黑龙江 齐齐哈尔市,男,41,400001
黑龙江 齐齐哈尔市,男,34,313271
黑龙江 齐齐哈尔市,女,38,252142
黑龙江 齐齐哈尔市,女,46,175055
黑龙江 齐齐哈尔市,男,26,155251
黑龙江 齐齐哈尔市,女,25,110000
黑龙江 齐齐哈尔市,女,22,92888
黑龙江 齐齐哈尔市,女,35,90001
黑龙江 齐齐哈尔市,女,27,44608
黑龙江 齐齐哈尔市,男,47,40000
黑龙江 齐齐哈尔市,女,35,36011
黑龙江 齐齐哈尔市,男,27,31440
黑龙江 齐齐哈尔市,女,49,22100
黑龙江 齐齐哈尔市,女,43,20000
黑龙江 齐齐哈尔市,男,33,17000
黑龙江 齐齐哈尔市,男,33,15100
黑龙江 齐齐哈尔市,女,26,10000
黑龙江 齐齐哈尔市,女,31,10000
黑龙江 齐齐哈尔市,男,46,8000
黑龙江 齐齐哈尔市,男,24,5001
黑龙江 齐齐哈尔市,男,27,5001
黑龙江 齐齐哈尔市,男,23,4500
黑龙江 齐齐哈尔市,女,30,3029
黑龙江 齐齐哈尔市,男,36,2034
黑龙江 齐齐哈尔市,女,37,500
黑龙江 齐齐哈尔市,女,45,400
黑龙江 齐齐哈尔市,男,26,300
黑龙江 齐齐哈尔市,女,45,202
黑龙江 齐齐哈尔市,男,28,101
黑龙江 齐齐哈尔市,女,19,100
黑龙江 齐齐哈尔市,男,28,100
黑龙江 齐齐哈尔市,女,25,100
黑龙江 齐齐哈尔市,女,51,100
黑龙江 齐齐哈尔市,女,34,10
黑龙江 齐齐哈尔市,男,30,8
黑龙江 齐齐哈尔市,女,25,4
黑龙江 齐齐哈尔市,男,32,0
黑龙江 黑河市,男,49,180021
黑龙江 黑河市,女,37,39820
黑龙江 黑河市,女,35,36863
黑龙江 黑河市,男,38,19110
黑龙江 黑河市,男,21,1000
黑龙江 黑河市,男,35,106
黑龙江 黑河市,女,29,100
黑龙江 黑河市,女,33,100
黑龙江 黑河市,女,37,100
黑龙江 黑河市,男,66,100
黑龙江 黑河市,女,17,100
黑龙江 黑河市,女,18,100
黑龙江 黑河市,女,25,100
黑龙江 黑河市,男,21,1
黑龙江 黑河市,女,28,0
黑龙江 鹤岗市,男,49,353647
黑龙江 鹤岗市,女,26,247044
黑龙江 鹤岗市,女,28,170300
黑龙江 鹤岗市,男,39,100005
黑龙江 鹤岗市,女,27,32391
黑龙江 鹤岗市,女,22,4000
黑龙江 鹤岗市,女,44,1000
黑龙江 鹤岗市,男,34,200
黑龙江 鹤岗市,女,41,200
黑龙江 鹤岗市,女,24,100
黑龙江 鹤岗市,男,31,11
黑龙江 鹤岗市,女,42,0
黑龙江 鸡西市,女,34,1400000
黑龙江 鸡西市,男,29,438307
黑龙江 鸡西市,女,29,170000
黑龙江 鸡西市,男,23,91628
黑龙江 鸡西市,女,30,39102
黑龙江 鸡西市,女,25,27000
黑龙江 鸡西市,女,26,22701
黑龙江 鸡西市,女,40,20003
黑龙江 鸡西市,女,42,10000
黑龙江 鸡西市,男,27,6001
黑龙江 鸡西市,男,53,3012
黑龙江 鸡西市,男,36,2100
黑龙江 鸡西市,女,48,2000
黑龙江 鸡西市,男,20,1001
黑龙江 鸡西市,女,24,1001
黑龙江 鸡西市,女,18,1000
黑龙江 鸡西市,女,25,100
黑龙江 鸡西市,女,23,25
黑龙江 鸡西市,女,25,2
黑龙江 鸡西市,男,26,1
黑龙江 鸡西市,女,25,1
黑龙江 鸡西市,男,21,0
黑龙江 绥化市,男,33,182085
黑龙江 绥化市,女,31,150081
黑龙江 绥化市,女,53,40125
黑龙江 绥化市,女,24,20000
黑龙江 绥化市,男,27,16502
黑龙江 绥化市,女,24,10000
黑龙江 绥化市,男,22,107
黑龙江 绥化市,男,33,102
黑龙江 牡丹江市,男,25,863316
黑龙江 牡丹江市,女,36,852946
黑龙江 牡丹江市,男,30,638358
黑龙江 牡丹江市,男,53,470000
黑龙江 牡丹江市,男,42,410097
黑龙江 牡丹江市,女,28,404022
黑龙江 牡丹江市,男,25,350300
黑龙江 牡丹江市,女,28,331516
黑龙江 牡丹江市,男,38,303163
黑龙江 牡丹江市,女,51,300732
黑龙江 牡丹江市,女,26,198166
黑龙江 牡丹江市,女,39,186004
黑龙江 牡丹江市,男,34,124042
黑龙江 牡丹江市,男,32,115000
黑龙江 牡丹江市,女,27,105717
黑龙江 牡丹江市,女,31,105009
黑龙江 牡丹江市,女,44,100005
黑龙江 牡丹江市,女,27,84815
黑龙江 牡丹江市,女,40,65003
黑龙江 牡丹江市,男,32,63568
黑龙江 牡丹江市,男,42,60200
黑龙江 牡丹江市,女,26,60000
黑龙江 牡丹江市,女,25,57002
黑龙江 牡丹江市,男,27,55212
黑龙江 牡丹江市,女,35,55001
黑龙江 牡丹江市,女,42,40000
黑龙江 牡丹江市,男,31,40000
黑龙江 牡丹江市,男,25,34500
黑龙江 牡丹江市,女,40,30990
黑龙江 牡丹江市,男,24,30000
黑龙江 牡丹江市,女,53,26000
黑龙江 牡丹江市,女,28,21649
黑龙江 牡丹江市,女,27,20002
黑龙江 牡丹江市,男,24,20000
黑龙江 牡丹江市,男,33,20000
黑龙江 牡丹江市,女,33,20000
黑龙江 牡丹江市,男,25,11000
