GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,关键词,数值
31.23230768,121.4691562,31.23039505,121.4736999,31.236305,121.480237,上海,4376
23.8868611,100.0875752,23.88427623,100.0888304,23.89053,100.09528,云南 临沧市,6
26.85992359,100.2259795,26.8563965,100.2271275,26.862521,100.23357,云南 丽江市,10
25.11488516,99.1608886,25.11203889,99.16181664,25.117882,99.168373,云南 保山市,8
25.60953593,100.2665357,25.60650284,100.2676354,25.612206,100.274223,云南 大理白族自治州,13
24.43549342,98.58470144,24.43232872,98.58485701,24.438031,98.591419,云南 德宏傣族景颇族自治州,4
25.82102582,98.85627188,25.81772765,98.85667421,25.823736,98.863189,云南 怒江傈僳族自治州,2
23.4011104,104.2129323,23.39848137,104.2150459,23.404187,104.221606,云南 文山壮族苗族自治州,6
24.8827282,102.8317965,24.87967709,102.8332234,24.885953,102.839667,云南 昆明市,347
27.34152317,103.7147345,27.33809695,103.7168159,27.344057,103.723311,云南 昭通市,15
22.82814914,100.9650925,22.82514799,100.9662512,22.830987,100.97281,云南 普洱市,8
25.49303165,103.794215,25.4900442,103.7962534,25.496328,103.802685,云南 曲靖市,25
25.047936,101.5261773,25.04493259,101.5276794,25.051226,101.534082,云南 楚雄彝族自治州,9
24.35486492,102.5458571,24.35182527,102.5471339,24.357512,102.5537,云南 玉溪市,24
23.36671347,103.3735851,23.36420204,103.3756022,23.369914,103.38215,云南 红河哈尼族彝族自治州,21
22.01036265,100.7962473,22.00752279,100.7973846,22.013792,100.803836,云南 西双版纳,5
22.01036265,100.7962473,22.00752279,100.7973846,22.013792,100.803836,云南 西双版纳傣族自治州,44
27.82259782,99.70194457,27.81910148,99.70303354,27.825264,99.70948,云南 迪庆,1
27.82259782,99.70194457,27.81910148,99.70303354,27.825264,99.70948,云南 迪庆藏族自治州,1
40.99207566,113.1265039,40.99384918,113.1337834,40.999972,113.140223,内蒙古 乌兰察布,6
40.99207566,113.1265039,40.99384918,113.1337834,40.999972,113.140223,内蒙古 乌兰察布市,4
39.65288806,106.7906863,39.6538463,106.795466,39.660154,106.80185,内蒙古 乌海市,55
46.08012565,122.0320704,46.08206801,122.0381483,46.088444,122.044544,内蒙古 兴安盟,3
40.65673373,109.8344744,40.6578896,109.8401983,40.663636,109.846755,内蒙古 包头市,78
49.20968945,119.7584776,49.21165544,119.7658376,49.217977,119.77221,内蒙古 呼伦贝尔,40
49.20968945,119.7584776,49.21165544,119.7658376,49.217977,119.77221,内蒙古 呼伦贝尔市,18
40.84012241,111.7450352,40.84156718,111.7519553,40.847461,111.758518,内蒙古 呼和浩特市,211
40.74174697,107.3821308,40.74318173,107.3877152,40.749427,107.394129,内蒙古 巴彦淖尔,11
40.74174697,107.3821308,40.74318173,107.3877152,40.749427,107.394129,内蒙古 巴彦淖尔市,5
42.25652784,118.8828177,42.25846558,118.8889867,42.264586,118.895463,内蒙古 赤峰市,67
43.65008328,122.2391351,43.65245097,122.2446926,43.658363,122.251207,内蒙古 通辽市,23
39.60736411,109.7751807,39.60838917,109.7809045,39.61463,109.787314,内蒙古 鄂尔多斯市,51
43.93101798,116.0409299,43.93317371,116.0477266,43.939525,116.054141,内蒙古 锡林郭勒,8
43.93101798,116.0409299,43.93317371,116.0477266,43.939525,116.054141,内蒙古 锡林郭勒盟,2
38.85100843,105.7246847,38.85157661,105.7289602,38.857806,105.735357,内蒙古 阿拉善,6
38.85100843,105.7246847,38.85157661,105.7289602,38.857806,105.735357,内蒙古 阿拉善盟,3
39.90327246,116.4009204,39.90467168,116.4071592,39.911013,116.413554,北京,4509
43.83550031,126.5437711,43.83776802,126.5494788,43.843512,126.556073,吉林 吉林市,90
43.16399112,124.3441111,43.16655412,124.3503016,43.172447,124.356844,吉林 四平市,75
42.88888371,129.5021165,42.89135582,129.5090795,42.897211,129.515602,吉林 延边,43
42.88888371,129.5021165,42.89135582,129.5090795,42.897211,129.515602,吉林 延边朝鲜族自治州,7
45.13913711,124.8188371,45.14113121,124.825151,45.147201,124.831633,吉林 松原市,16
45.61755964,122.8328797,45.6194806,122.8387591,45.6254,122.845302,吉林 白城市,13
41.93827635,126.4185692,41.9407862,126.4244379,41.94643,126.431052,吉林 白山市,97
42.88548153,125.1372813,42.88800907,125.1436971,42.8943,125.150107,吉林 辽源市,18
41.72610163,125.9342415,41.72825176,125.9398903,41.733906,125.946506,吉林 通化,1
41.72610163,125.9342415,41.72825176,125.9398903,41.733906,125.946506,吉林 通化市,19
43.81360667,125.3170569,43.81604546,125.3235371,43.82178,125.33017,吉林 长春市,423
29.55500371,103.763161,29.55226462,103.7653765,29.558141,103.77193,四川 乐山市,56
29.58271248,105.05521,29.58014681,105.0584394,29.585836,105.065028,四川 内江市,40
27.88498019,102.265992,27.88155216,102.2674886,27.887685,102.273965,四川 凉山,2
27.88498019,102.265992,27.88155216,102.2674886,27.887685,102.273965,四川 凉山彝族自治州,12
30.83963829,106.1066891,30.83737216,106.1107178,30.843297,106.117231,四川 南充市,43
28.75472378,104.6393235,28.75130487,104.6416999,28.75761,104.648103,四川 宜宾市,25
31.8693432,106.7431837,31.86716554,106.7473197,31.872851,106.753912,四川 巴中市,17
32.43787767,105.8398534,32.43550533,105.8435817,32.441808,105.849993,四川 广元市,95
30.45872607,106.6294309,30.4559516,106.6332128,30.461708,106.639772,四川 广安市,17
31.12894684,104.3952147,31.12681617,104.3978915,31.133105,104.404319,四川 德阳市,94
30.57261994,104.0622715,30.57016295,104.064766,30.576279,104.071216,四川 成都市,1372
26.58580181,101.7171534,26.58224235,101.7187306,26.588109,101.725262,四川 攀枝花市,12
28.87470625,105.438979,28.87169526,105.4425839,28.877577,105.449092,四川 泸州市,36
30.05215741,101.9610236,30.04933448,101.9625364,30.055207,101.969084,四川 甘孜,2
30.05215741,101.9610236,30.04933448,101.9625364,30.055207,101.969084,四川 甘孜藏族自治州,5
30.07847632,103.8463982,30.07566789,103.8485064,30.081369,103.85507,四川 眉山市,28
31.46981861,104.6769622,31.46754919,104.6795801,31.473364,104.686164,四川 绵阳市,213
29.34197245,104.7757663,29.33913885,104.77847,29.345379,104.784891,四川 自贡市,28
30.13150288,104.6255695,30.12865875,104.6279566,30.134846,104.634415,四川 资阳市,35
31.21077693,107.4632237,31.20867099,107.4679175,31.214347,107.474504,四川 达州市,58
