,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0~1000,131,210,295,378,446,563,675,861,853,825,835,703,562,513,499,471,359,283,294,227,172,181,152,135,123,109,116,128,71,80,69,44,43,57,79,56,29,29,37,53,44,30,30,31,26,28,19,17,10,9,9,4,7
1000~25000,27,57,99,201,329,484,654,976,1009,1060,1061,940,877,780,750,820,666,478,458,420,378,331,295,262,236,239,206,202,141,152,79,92,76,89,89,68,29,34,27,32,25,22,27,26,15,23,19,13,13,9,7,5,4
25000~50000,10,16,29,51,142,207,334,544,713,683,708,681,580,530,587,602,514,364,355,311,290,251,224,200,207,180,162,146,125,97,62,71,65,47,73,57,21,24,23,26,22,23,34,25,20,10,14,7,11,8,3,6,3
50000~500000,2,3,12,19,24,93,160,331,428,539,572,629,502,528,557,606,523,421,414,376,337,284,241,230,198,188,187,170,137,126,69,73,69,79,74,55,32,34,23,31,33,34,33,30,19,14,13,11,14,9,10,4,1
>500000,1,2,1,2,3,14,29,36,65,93,107,134,96,118,161,185,163,173,155,173,152,138,141,124,131,114,108,93,71,57,42,35,39,35,38,28,11,11,7,20,14,17,6,13,9,5,6,7,3,4,3,4,5
0~1000,9454,18074,30285,39154,46795,55978,64392,96714,108828,104433,103378,86442,68244,65789,57775,57848,42423,32614,37345,28049,22646,28784,20681,16400,16937,9509,15452,16329,10555,12236,7685,5681,5703,6448,9273,7925,3020,3844,4055,4807,4236,2761,3400,3491,2602,2681,2283,1536,901,1114,904,401,803
1000~25000,282736,499446,721073,1710520,3075459,4681504,6591765,10497530,10936797,11357970,11244584,10441795,10123574,8931584,8378171,9319527,7668498,5433170,5379817,4821109,4534438,3844120,3451477,3169591,2614229,2642807,2472835,2503049,1574335,1925614,1018890,1173692,917758,1033043,1093045,751770,389814,407075,280374,400951,342015,235791,335394,330138,149771,251956,221505,174556,182010,117318,108760,19067,38919
25000~50000,504674,827808,1412172,2352390,6753776,10682718,16761890,29165385,37965562,36490236,38422676,36606486,30559505,28439641,30746784,31945852,27478473,19493812,18987035,16521465,15454372,13692156,11863844,10022554,10870102,8920175,8625694,7434826,6372822,5332461,3129824,3688906,3638757,2661970,3718872,2721550,1249176,1314947,1174735,1326507,1335067,1290957,1892745,1329043,1034698,521697,774620,355175,639470,405431,184172,350419,220008
50000~500000,544588,440770,2732617,3710130,4168752,18640250,31640211,67089996,88138934,111186166,118969798,135633019,107655131,116594033,119289741,137514390,115927471,98052166,94604736,85266201,76818635,65301438,55706430,58981704,46594871,41348756,45127808,38759656,30933049,30157108,16983200,16686515,14712642,17706404,17278842,13592540,8308013,7571730,5060138,6317558,7193388,7521481,7907311,5945947,5258503,3204711,2771469,2541750,3306884,1916016,2478691,645084,478674
>500000,1707422,1600121,601307,1060538,4649014,13330674,31076297,35163098,76331498,85149646,105048520,157303094,110224679,120449306,185442153,221370847,199873380,201149151,210592955,231654831,192185970,184301745,191492630,182478454,199642258,142802711,169066123,148808861,120238877,83291200,51232545,74583742,65960837,54501499,48374176,42942429,18391627,14893068,6058155,26178356,14691503,27404871,6870291,20202950,7731060,9964059,6960325,8440360,4425609,4224101,4529131,6367643,10306871
