,MOBILEAREA,性别,年龄,金额,谷歌地图经度,谷歌地图纬度
42305,北京,男,41,24119558,116.4071592,39.90467168
22586,新疆 阿克苏地区,男,30,17919618,80.26009113,41.16839285
42306,北京,男,42,15899696,116.4071592,39.90467168
6414,福建 厦门市,男,41,15045192,118.0894498,24.47955948
47961,上海,女,46,14920250,121.47369990000001,31.23039505
42307,北京,女,38,13950002,116.4071592,39.90467168
24388,广东 深圳市,男,35,11770691,114.0595443,22.54283882
14440,河南 濮阳市,男,44,10664047,115.0293153,35.76180116
47962,上海,男,43,10614782,121.47369990000001,31.23039505
2778,辽宁 盘锦市,女,49,10541326,122.0707363,41.12003174
11308,浙江 绍兴市,男,49,9893021,120.5802102,30.03027163
42308,北京,女,42,9820653,116.4071592,39.90467168
47963,上海,男,37,9464615,121.47369990000001,31.23039505
47964,上海,男,45,9100027,121.47369990000001,31.23039505
46990,内蒙古 呼和浩特市,男,37,8699279,111.7519553,40.84156718
3539,辽宁 大连市,女,46,8563624,121.6147485,38.913680299999996
47965,上海,男,40,8430970,121.47369990000001,31.23039505
1720,重庆,男,44,8342097,106.55074450000001,29.56470494
42309,北京,男,43,8022956,116.4071592,39.90467168
18143,江苏 连云港市,女,37,7858792,119.2229509,34.59668351
42310,北京,男,36,7663990,116.4071592,39.90467168
4923,福建 福州市,男,53,7640005,119.29645990000002,26.07417345
42311,北京,男,47,7572524,116.4071592,39.90467168
5741,福建 泉州市,男,26,7455153,118.6758514,24.87388355
42312,北京,男,38,7188560,116.4071592,39.90467168
17977,江西 上饶市,女,39,7105995,117.94355559999998,28.45459981
42313,北京,女,50,7100031,116.4071592,39.90467168
42314,北京,男,49,6960012,116.4071592,39.90467168
3540,辽宁 大连市,男,29,6913993,121.6147485,38.913680299999996
47966,上海,男,38,6731249,121.47369990000001,31.23039505
19327,江苏 无锡市,女,37,6611747,120.31236940000001,31.49095473
47967,上海,男,37,6515312,121.47369990000001,31.23039505
26511,广东 广州市,男,39,6415501,113.26435,23.12906597
47968,上海,男,41,6403737,121.47369990000001,31.23039505
42315,北京,男,42,6291171,116.4071592,39.90467168
24389,广东 深圳市,男,44,6164114,114.0595443,22.54283882
2521,辽宁 鞍山市,女,36,6129071,122.99456210000001,41.10773742
35274,山东 济南市,男,45,6086647,116.9948952,36.66526101
42316,北京,男,51,6000023,116.4071592,39.90467168
9088,湖北 武汉市,女,50,6000012,114.30523059999999,30.59274732
9089,湖北 武汉市,男,46,6000001,114.30523059999999,30.59274732
42317,北京,男,51,5846175,116.4071592,39.90467168
42318,北京,男,39,5822930,116.4071592,39.90467168
42319,北京,男,36,5811346,116.4071592,39.90467168
47969,上海,男,39,5731661,121.47369990000001,31.23039505
42320,北京,男,39,5729011,116.4071592,39.90467168
26512,广东 广州市,男,49,5713101,113.26435,23.12906597
1721,重庆,男,32,5639800,106.55074450000001,29.56470494
42321,北京,女,36,5587638,116.4071592,39.90467168
4358,辽宁 丹东市,男,57,5580037,124.3559953,39.99977589
7487,湖南 长沙市,男,61,5533738,112.9388158,28.22787847
42322,北京,男,44,5464429,116.4071592,39.90467168
4359,辽宁 丹东市,男,39,5381112,124.3559953,39.99977589
7231,甘肃 天水市,男,33,5378009,105.731276,34.587162
47970,上海,男,42,5361015,121.47369990000001,31.23039505
47971,上海,女,28,5356196,121.47369990000001,31.23039505
42323,北京,女,49,5351018,116.4071592,39.90467168
26513,广东 广州市,男,36,5325714,113.26435,23.12906597
20933,江苏 南京市,男,35,5289140,118.7964668,32.05838984
9090,湖北 武汉市,女,29,5200170,114.30523059999999,30.59274732
2779,辽宁 盘锦市,女,52,5111613,122.0707363,41.12003174
42324,北京,男,26,5108578,116.4071592,39.90467168
47972,上海,女,33,5064295,121.47369990000001,31.23039505
47973,上海,男,29,5012158,121.47369990000001,31.23039505
42325,北京,女,29,4985775,116.4071592,39.90467168
