count,amount
0,1245013039
300,609061169
600,464075138
900,356360577
1200,300952189
1500,262020791
1800,230647603
2100,201535075
2400,181476394
2700,167217503
3000,151542338
3300,139291831
3600,127910732
3900,120203687
4200,117196129
4500,108121259
4800,99997297
5100,93192978
5400,88408002
5700,82435382
6000,77093302
6300,73032706
6600,68951971
6900,65085818
7200,61801679
7500,59816609
7800,59800202
8100,58057286
8400,54911628
8700,51964185
9000,49306974
9300,47079466
9600,44556659
9900,42278082
10200,40286562
10500,38273970
10800,36232398
11100,35307486
11400,33385415
11700,32381808
12000,30591609
12300,29906479
12600,29900542
12900,29839127
13200,28551985
13500,27089999
13800,26043069
14100,24526797
14400,23935090
14700,23299409
15000,21759050
15300,20932523
15600,20014011
15900,18776208
16200,17983363
16500,17940636
16800,17747419
17100,16690419
17400,15734764
17700,14985861
18000,14950134
18300,14352372
18600,13429251
18900,12598410
19200,12010524
19500,11986014
19800,11986014
20100,11985087
20400,11962795
20700,11960261
21000,11960001
21300,11404878
21600,10556036
21900,9872543
22200,9122015
22500,8981941
22800,8970001
23100,8472076
23400,7655826
23700,7223367
24000,6608812
24300,6153972
24600,6004341
24900,5992127
25200,5981316
25500,5980407
25800,5980015
26100,5980001
26400,5980001
26700,5980001
27000,5980001
27300,5980001
27600,5956547
27900,5439248
28200,4818905
28500,4487202
28800,4132155
29100,3682415
29400,3320958
29700,3035638
30000,2992981
30300,2990964
30600,2990422
30900,2990169
31200,2990001
31500,2990001
31800,2990001
32100,2990001
32400,2990001
32700,2990001
33000,2990001
33300,2923381
33600,2559196
33900,2283665
34200,1953902
34500,1793711
34800,1558939
35100,1495242
35400,1495001
35700,1383041
36000,1198163
36300,1135185
36600,906563
36900,809947
37200,616664
37500,598755
37800,598001
38100,564830
38400,399442
38700,308983
39000,299340
39300,299001
39600,299001
39900,299001
40200,241483
40500,166556
40800,149533
41100,127055
41400,88079
41700,60956
42000,59924
42300,58160
42600,35346
42900,30721
43200,30200
43500,30056
43800,29901
44100,29901
44400,29901
44700,29901
45000,29901
45300,29901
45600,29901
45900,29901
46200,29901
46500,29901
46800,29858
47100,18205
47400,8824
47700,4939
48000,3155
48300,2724
48600,1672
48900,1279
49200,829
49500,599
49800,599
50100,599
50400,369
50700,300
51000,48
51300,1
51600,1
51900,1
52200,1
