,population,p,f,,
1,33692,197810,315624,5.871126677,9.367921168
2,74609,606838,703572,8.133576378,9.430122371
3,52032,517591,446481,9.947551507,8.580892528
4,27823,284644,223095,10.2305287,8.0183661
5,25160,234771,215492,9.331120827,8.564864865
6,5491,44732,47723,8.146421417,8.691130942
7,18309,92055,66895,5.027855153,3.653667595
8,33217,220325,144338,6.632898817,4.345305115
9,23708,200328,119500,8.449805973,5.040492661
10,11462,93119,47121,8.124149363,4.111062642
11,9745,68715,34778,7.051308363,3.568804515
12,2568,16847,10050,6.560358255,3.913551402
