省份,性别,年龄,金额
福建,1,9,607.38
广东,1,9,10000
北京,0,11,100
北京,0,11,40005
广东,0,13,9228
江西,1,13,10000
天津,1,13,20181.37
广东,1,14,3901
广西,1,15,0
江西,0,15,2
广东,1,15,1000
甘肃,0,15,4200
四川,0,16,0
福建,1,16,0
辽宁,1,16,0
辽宁,0,16,0
贵州,1,16,0
甘肃,1,16,0
河北,1,16,0
广东,0,16,0
陕西,1,16,0
云南,1,16,1.2
山西,0,16,2
浙江,1,16,3
湖南,1,16,4
湖南,1,16,5
湖南,0,16,6
海南,1,16,10
福建,0,16,30
河南,1,16,100
广东,0,16,100
江苏,1,16,100
广东,1,16,323.81
河南,1,16,700
广西,1,16,1000
广东,1,16,2900
河南,1,16,5003
上海,0,16,27340.68
河南,1,16,36703.15
江苏,0,16,45191.37
广东,1,16,1000001
安徽,0,17,0
江西,0,17,0
广东,1,17,0
浙江,1,17,0
福建,1,17,0
广东,0,17,0
天津,1,17,0
湖南,1,17,0
内蒙古,1,17,0
湖南,1,17,0
辽宁,0,17,0
海南,1,17,0
福建,1,17,0
江西,1,17,0
湖南,1,17,0
广东,1,17,0
海南,0,17,0
广东,1,17,1.1
浙江,1,17,1.1
辽宁,0,17,1.1
四川,1,17,1.1
广东,1,17,2
广东,1,17,2
广东,1,17,2
山西,1,17,2
海南,1,17,2
广东,1,17,3
福建,1,17,5
河南,1,17,10
广西,1,17,10
浙江,1,17,10
四川,1,17,11.82
广东,1,17,15
安徽,1,17,26
海南,1,17,26
安徽,1,17,30
江西,1,17,31
广东,1,17,37.87
四川,1,17,100
山东,1,17,100
四川,0,17,100
山东,1,17,100
福建,1,17,100
江苏,0,17,100
吉林,0,17,100
黑龙江,1,17,100
山东,1,17,100
广东,1,17,100
内蒙古,1,17,100
安徽,0,17,100
上海,1,17,100
江西,0,17,100
浙江,1,17,100
黑龙江,0,17,100
广东,1,17,101
广东,1,17,101
江西,1,17,105
云南,1,17,106
福建,1,17,200
广东,0,17,200
湖南,0,17,401.63
广东,1,17,603.44
广东,1,17,2000
广东,1,17,2001
陕西,1,17,4883.48
广东,1,17,5000
北京,0,17,10000
山东,0,17,10000
湖北,1,17,20000
广东,0,17,40087.12
浙江,1,18,0
安徽,1,18,0
江西,0,18,0
河北,1,18,0
山东,1,18,0
广东,1,18,0
山东,1,18,0
河南,1,18,0
河北,0,18,0
江苏,0,18,0
山西,1,18,0
四川,1,18,0
海南,1,18,0
安徽,1,18,0
江西,1,18,0
安徽,0,18,0
福建,1,18,0
四川,0,18,0
浙江,1,18,0
山东,1,18,0
广西,0,18,0
河南,1,18,0
贵州,1,18,0
广西,1,18,0
湖北,1,18,1
山西,1,18,1
山西,1,18,1.01
山东,1,18,1.1
江苏,1,18,1.11
海南,1,18,2
山东,1,18,2
山西,1,18,2
广东,1,18,2
江西,0,18,2
四川,1,18,2
广东,1,18,2
河北,1,18,2
浙江,1,18,2
江苏,0,18,2
广东,1,18,2
天津,1,18,2
广东,1,18,2
广东,1,18,2
福建,0,18,2
四川,1,18,2.2
海南,0,18,3
江西,1,18,3
河南,1,18,5
吉林,0,18,8
广东,1,18,10
山东,1,18,10
内蒙古,0,18,10
福建,1,18,10
上海,1,18,10
山东,1,18,13.5
广西,1,18,20
