MOBILEAREA,性别,年龄,金额
北京,男,41.0,24119558
新疆 阿克苏地区,男,30.0,17919618
北京,男,42.0,15899696
福建 厦门市,男,41.0,15045192
上海,女,46.0,14920250
北京,女,38.0,13950002
广东 深圳市,男,35.0,11770691
河南 濮阳市,男,44.0,10664047
上海,男,43.0,10614782
辽宁 盘锦市,女,49.0,10541326
浙江 绍兴市,男,49.0,9893021
北京,女,42.0,9820653
上海,男,37.0,9464615
上海,男,45.0,9100027
内蒙古 呼和浩特市,男,37.0,8699279
辽宁 大连市,女,46.0,8563624
上海,男,40.0,8430970
重庆,男,44.0,8342097
北京,男,43.0,8022956
江苏 连云港市,女,37.0,7858792
北京,男,36.0,7663990
福建 福州市,男,53.0,7640005
北京,男,47.0,7572524
福建 泉州市,男,26.0,7455153
北京,男,38.0,7188560
江西 上饶市,女,39.0,7105995
北京,女,50.0,7100031
北京,男,49.0,6960012
辽宁 大连市,男,29.0,6913993
上海,男,38.0,6731249
江苏 无锡市,女,37.0,6611747
上海,男,37.0,6515312
广东 广州市,男,39.0,6415501
上海,男,41.0,6403737
北京,男,42.0,6291171
广东 深圳市,男,44.0,6164114
辽宁 鞍山市,女,36.0,6129071
山东 济南市,男,45.0,6086647
北京,男,51.0,6000023
湖北 武汉市,女,50.0,6000012
湖北 武汉市,男,46.0,6000001
北京,男,51.0,5846175
北京,男,39.0,5822930
北京,男,36.0,5811346
上海,男,39.0,5731661
北京,男,39.0,5729011
广东 广州市,男,49.0,5713101
重庆,男,32.0,5639800
北京,女,36.0,5587638
辽宁 丹东市,男,57.0,5580037
湖南 长沙市,男,61.0,5533738
北京,男,44.0,5464429
辽宁 丹东市,男,39.0,5381112
甘肃 天水市,男,33.0,5378009
上海,男,42.0,5361015
上海,女,28.0,5356196
北京,女,49.0,5351018
广东 广州市,男,36.0,5325714
江苏 南京市,男,35.0,5289140
湖北 武汉市,女,29.0,5200170
辽宁 盘锦市,女,52.0,5111613
北京,男,26.0,5108578
上海,女,33.0,5064295
上海,男,29.0,5012158
北京,女,29.0,4985775
上海,女,36.0,4980592
陕西 西安市,男,32.0,4956340
贵州 贵阳市,男,46.0,4927731
上海,女,38.0,4901626
